,unique_id,PC 1,PC 2,Location,Type
0,1000,-2.108592080345031,1.8145736074804935,Ireland,Residential
1,1001,-0.8416528755167328,-0.6498257668528222,Ireland,Residential
2,1002,-0.9553332652655147,-0.7212957039615839,Ireland,Residential
3,1003,-1.3829415819668167,0.6597706622320673,Ireland,Residential
4,1004,-0.9653838676756306,0.045244674912372725,Ireland,Residential
5,1005,-1.572038731929835,0.7964269692526869,Ireland,Residential
6,1006,-1.3448276462657667,0.5919929328721311,Ireland,Residential
7,1007,-1.9489877622078904,1.5104071561001104,Ireland,Residential
8,1008,-2.226303558090889,1.7145939488357405,Ireland,Residential
9,1009,-0.5020210975901637,-0.4728530331041533,Ireland,Residential
10,1010,-1.720108775845574,1.0962120912341067,Ireland,Residential
11,1011,-1.3160836183599016,0.40081617319212187,Ireland,Residential
12,1012,2.347879834116174,-3.833415787776272,Ireland,Residential
13,1013,-2.5565384942813223,2.3006794205661505,Ireland,Residential
14,1014,-1.063302132249405,-0.06284547991647864,Ireland,Residential
15,1015,-0.9642668912984412,-0.08714606084480174,Ireland,Residential
16,1016,-3.580317413356114,3.169083608472121,Ireland,Residential
17,1017,-2.380622513474831,2.1163878926433703,Ireland,Residential
18,1018,-0.8365442349259382,-0.4028597644241973,Ireland,Residential
19,1019,-1.7977861718524721,1.2364855022075738,Ireland,Residential
20,1020,-2.5763251656860127,2.3649965389604426,Ireland,Residential
21,1021,-0.07526354671986672,-1.7780429210736999,Ireland,Residential
22,1022,-2.4959271965926155,2.337972909766711,Ireland,Residential
23,1023,1.9638135262549439,-3.966803064384484,Ireland,Residential
24,1024,-1.3496848473386809,0.43763749796414464,Ireland,Residential
25,1025,-2.568623268416356,2.380123870234941,Ireland,Residential
26,1026,3.4140021621937584,-6.585600673287099,Ireland,Residential
27,1027,-2.513411267595916,2.296779198329126,Ireland,Residential
28,1028,1.8991980588212323,-3.5457314796644996,Ireland,Residential
29,1029,-3.4012669525590358,3.5310695793982116,Ireland,Residential
30,1030,-2.870651392893954,2.8870650065884815,Ireland,Residential
31,1031,-1.7441845549730657,0.8746061734381194,Ireland,Residential
32,1032,-2.4534805928317653,2.2054487656096255,Ireland,Residential
33,1033,-1.5976053886777282,1.0193063534142979,Ireland,Residential
34,1034,-0.7503076178657916,-0.34956747839564867,Ireland,Residential
35,1035,0.7673399890635072,-2.064609871240607,Ireland,Residential
36,1036,1.2138381695804117,-3.346524598037369,Ireland,Residential
37,1037,-3.029482662564092,2.4875542103670134,Ireland,Residential
38,1038,4.930220946650871,-7.571713794331521,Ireland,Residential
39,1039,-1.828907993149547,1.0818761248192785,Ireland,Residential
40,1041,-3.772758547237068,3.6478836118312445,Ireland,Residential
41,1042,-2.2290245121917125,1.903647203524041,Ireland,Residential
42,1043,-1.266290784273631,0.24056494992508648,Ireland,Residential
43,1044,-1.1075742526844126,0.03995981431873162,Ireland,Residential
44,1045,-1.842902757871192,1.1159837139974658,Ireland,Residential
45,1046,-2.618770378990897,2.4187812069546473,Ireland,Residential
46,1047,-2.433039923726749,2.449081797191342,Ireland,Residential
47,1048,-2.2759141231329774,2.2081764523931193,Ireland,Residential
48,1049,-0.9560342459358651,0.7252394529633445,Ireland,Residential
49,1050,2.2618696949023698,-4.642087939765095,Ireland,Residential
50,1051,-2.177099987112335,2.0222685094439385,Ireland,Residential
51,1052,-2.3696366794136203,1.8192368238795777,Ireland,Residential
52,1053,-1.6663139366723076,1.1462052856508653,Ireland,Residential
53,1054,-2.900125216797234,3.099284612243637,Ireland,Residential
54,1055,-1.9100345402413414,1.230308861615972,Ireland,Residential
55,1056,1.9569117449926754,-3.955336585630074,Ireland,Residential
56,1057,-1.3669953366721816,0.59316041510841,Ireland,Residential
57,1058,-1.5345239396504138,0.6454844635261926,Ireland,Residential
58,1059,-0.813799658820436,-0.39536958250178283,Ireland,Residential
59,1060,-1.0294932643814052,-0.0953464797060594,Ireland,Residential
60,1061,-2.3136752113443593,1.9993324501903305,Ireland,Residential
61,1062,-1.2284148207913073,0.05346927789969821,Ireland,Residential
62,1063,-1.9897166409448677,1.5571246299061667,Ireland,Residential
63,1064,-2.24986469041901,2.211406350863029,Ireland,Residential
64,1065,-2.0131630615387994,1.6296090186428684,Ireland,Residential
65,1066,-2.3661676610277924,1.7468908157587775,Ireland,Residential
66,1067,-1.4622191929058828,0.7549763308934822,Ireland,Residential
67,1068,-2.1785822585584143,1.9069195452194643,Ireland,Residential
68,1069,2.645369444230987,-5.612246695838913,Ireland,Residential
69,1070,-0.21328139712803648,-0.8729006255044275,Ireland,Residential
70,1071,-1.6051002051765713,0.39624746633981595,Ireland,Residential
71,1072,-1.6671011745966968,0.9572166413948424,Ireland,Residential
72,1073,-1.566637166363639,0.7559931526775563,Ireland,Residential
73,1074,0.04011391177112781,-1.869807929906165,Ireland,Residential
74,1075,-2.167920104150468,1.4841989168997012,Ireland,Residential
75,1076,-1.5974260023573834,1.1679746646131368,Ireland,Residential
76,1077,-2.6957398816812113,2.2893939136225963,Ireland,Residential
77,1078,-2.616665477726242,2.0681592829226907,Ireland,Residential
78,1079,-0.9970933448368624,0.17669403965470915,Ireland,Residential
79,1080,-1.6230505446334182,0.7215053338783903,Ireland,Residential
80,1081,-2.8571872054723113,2.7799022621925666,Ireland,Residential
81,1082,-0.7412701289848994,-0.5434184571961878,Ireland,Residential
82,1083,-2.311139647733435,2.0599844620077254,Ireland,Residential
83,1084,-2.104731456751198,1.5056137349358207,Ireland,Residential
84,1085,-2.6146460074357973,2.6569863579253257,Ireland,Residential
