,tSNE_x,tSNE_y,Location,Type,id
125,-22.427662,-64.17776,Ireland,Residential,1127
126,-25.533136,-1.893289,Ireland,Residential,1128
127,9.332021,-16.395687,Ireland,Residential,1129
128,23.680696,35.498028,Ireland,Residential,1130
129,3.4276395,39.973755,Ireland,Residential,1131
130,-15.855589,62.645718,Ireland,Residential,1132
131,-44.651344,-8.201853,Ireland,Residential,1133
132,12.28055,-8.984205,Ireland,Residential,1134
133,3.0961025,0.82793975,Ireland,Residential,1135
134,-51.407566,4.974205,Ireland,Residential,1136
135,43.27246,-39.318523,Ireland,Residential,1137
136,-39.00726,67.35031,Ireland,Residential,1138
137,-31.431381,71.97992,Ireland,Residential,1139
138,-9.758934,57.803925,Ireland,Residential,1140
139,-25.94525,1.810686,Ireland,Residential,1141
140,44.534203,-54.155426,Ireland,Residential,1142
141,6.9966545,34.40925,Ireland,Residential,1143
142,-20.588026,59.713802,Ireland,Residential,1144
143,49.94994,-55.913383,Ireland,Residential,1145
144,43.217033,-40.5266,Ireland,Residential,1146
145,30.382206,-31.899813,Ireland,Residential,1147
146,3.2381063,32.800514,Ireland,Residential,1148
147,-35.414845,-6.1165547,Ireland,Residential,1149
148,9.05933,-11.704808,Ireland,Residential,1150
149,33.13962,27.51998,Ireland,Residential,1151
150,-36.266937,-21.89272,Ireland,Residential,1152
151,-13.802767,-19.32895,Ireland,Residential,1153
152,-20.016094,70.12242,Ireland,Residential,1154
153,10.690377,-0.4367971,Ireland,Residential,1155
154,-19.24144,-18.001528,Ireland,Residential,1156
155,-4.613559,-8.332616,Ireland,Residential,1157
156,-44.181152,37.576565,Ireland,Residential,1158
157,27.921778,-52.212456,Ireland,Residential,1159
158,43.66649,-16.213287,Ireland,Residential,1160
159,-24.615261,-58.018616,Ireland,Residential,1161
160,-23.83656,-4.714246,Ireland,Residential,1162
161,-27.462566,-50.721363,Ireland,Residential,1163
162,36.707138,5.7124076,Ireland,Residential,1164
163,20.507566,64.05982,Ireland,Residential,1165
164,-31.831196,65.086136,Ireland,Residential,1166
165,0.5241963,28.04493,Ireland,Residential,1167
166,7.218338,34.597878,Ireland,Residential,1168
