,PC_0,PC_1,id,Location,Type
0,-3.3395440200827844,2.0862628924618396,1000,Ireland,Residential
1,0.7591829105879343,-1.7361808848416265,1001,Ireland,Residential
2,-0.4698341258507959,-1.5124051648996701,1002,Ireland,Residential
3,-2.0483518271493946,0.8070244613971144,1003,Ireland,Residential
4,-1.435301214664352,0.3567677017113621,1004,Ireland,Residential
5,-2.2011391086840857,0.8879147337072997,1005,Ireland,Residential
6,-0.9459295728693015,-0.5499594464912373,1006,Ireland,Residential
7,-2.519743544204598,1.1589466566301212,1007,Ireland,Residential
8,-3.2247547599038073,1.6716795560090367,1008,Ireland,Residential
9,-0.8250551524291548,0.08219930537031463,1009,Ireland,Residential
10,-2.440012579616967,1.1988271259555876,1010,Ireland,Residential
11,-0.48684850308491745,-1.2575394424864927,1011,Ireland,Residential
12,4.116617560821024,-3.9185088565000825,1012,Ireland,Residential
13,-3.664827545107344,2.267462322669974,1013,Ireland,Residential
14,-1.105482951634503,-0.33680293166875863,1014,Ireland,Residential
15,-1.8379591516771852,0.8012576780751436,1015,Ireland,Residential
16,-2.2570672149981488,-0.7209609634829732,1016,Ireland,Residential
17,-3.17637281242965,1.7966364733629887,1017,Ireland,Residential
18,-0.6944699208126712,-0.657747778590388,1018,Ireland,Residential
19,-2.6877905627258927,1.563794106617468,1019,Ireland,Residential
20,-3.4069891447174574,1.813834254806884,1020,Ireland,Residential
21,1.460829748786654,-3.3625151343641186,1021,Ireland,Residential
22,-4.095516966320106,2.956517299310024,1022,Ireland,Residential
23,4.917501338256035,-6.045078338547008,1023,Ireland,Residential
24,-1.9156654199215044,0.6964389143373092,1024,Ireland,Residential
25,-4.436565613564316,3.2562383671235384,1025,Ireland,Residential
26,6.973561190414779,-8.095265391182192,1026,Ireland,Residential
27,-3.4239427469103645,1.9521030551161493,1027,Ireland,Residential
28,4.745816319580958,-5.591239298189618,1028,Ireland,Residential
29,-5.933960360988027,4.706418295588459,1029,Ireland,Residential
30,-3.720197601280474,2.038142469876809,1030,Ireland,Residential
31,-2.2139267391489765,0.7879690412536166,1031,Ireland,Residential
32,-3.6882838491088137,2.3093567168537232,1032,Ireland,Residential
33,-1.821753659071312,0.38875208311771325,1033,Ireland,Residential
34,-0.1679524439058554,-1.4342878601239304,1034,Ireland,Residential
35,3.282668712254235,-4.468743761928543,1035,Ireland,Residential
36,2.4684754515716487,-3.3197548309639004,1036,Ireland,Residential
37,-5.16221705100927,3.544208206507866,1037,Ireland,Residential
38,7.797986590244973,-7.477107693690751,1038,Ireland,Residential
39,-2.171627337345892,0.6418902049349976,1039,Ireland,Residential
40,-5.633002122311491,3.5702593344782603,1041,Ireland,Residential
41,-2.356614558704085,0.5717686661227632,1042,Ireland,Residential
42,-1.0102890164136247,-0.5750951401453636,1043,Ireland,Residential
43,-1.3669491690188944,0.06040967321374578,1044,Ireland,Residential
44,-2.0850538517789183,0.539833107558058,1045,Ireland,Residential
45,-3.9290766577419998,2.498470959767929,1046,Ireland,Residential
46,-3.497107353741695,2.277882180048087,1047,Ireland,Residential
47,-2.540561604940708,1.2260022372344412,1048,Ireland,Residential
48,-0.2296534348171224,-0.9250960388941764,1049,Ireland,Residential
49,4.507493316161913,-5.4498618949905175,1050,Ireland,Residential
50,-2.6611747148788685,1.23705031721306,1051,Ireland,Residential
51,-3.104388855401292,1.5048530507633144,1052,Ireland,Residential
52,-0.9660664793288739,-0.5850537876951352,1053,Ireland,Residential
53,-4.694916389350267,3.3463812014250927,1054,Ireland,Residential
54,-1.5411428559132205,-0.4221751410611225,1055,Ireland,Residential
55,4.333236872854799,-5.350472459597291,1056,Ireland,Residential
56,-1.8579154729764094,0.6319825784932466,1057,Ireland,Residential
57,-1.6164110588089118,0.21230166852217694,1058,Ireland,Residential
58,-0.8669308630504323,-0.4543703245577544,1059,Ireland,Residential
59,-0.8539560549008417,-0.8759978491581515,1060,Ireland,Residential
60,-3.4858747342297556,2.17725444077802,1061,Ireland,Residential
61,-1.5857940163661297,0.25817386279939597,1062,Ireland,Residential
62,-3.6101040636177917,2.6335846915005963,1063,Ireland,Residential
63,-2.170116525901695,0.8438046922602412,1064,Ireland,Residential
64,-1.519056516095772,-0.2818282024937258,1065,Ireland,Residential
65,-3.1689169404631006,1.556333854891642,1066,Ireland,Residential
66,-2.2426792458383655,1.1698441097089682,1067,Ireland,Residential
67,-3.17694422680005,1.9885224988460513,1068,Ireland,Residential
68,4.9338379521761775,-6.183256524979634,1069,Ireland,Residential
69,1.0551600354974486,-2.439536145453274,1070,Ireland,Residential
70,-2.341889301197102,0.8549918688258268,1071,Ireland,Residential
71,-1.992520238092242,0.5691039546318121,1072,Ireland,Residential
72,-2.045405652048468,0.6272100281048497,1073,Ireland,Residential
73,1.8346927880252684,-3.567542494976234,1074,Ireland,Residential
74,-3.070575280613974,1.518893218135309,1075,Ireland,Residential
75,-0.8611540100749941,-0.747371907362244,1076,Ireland,Residential
76,-4.484977788767736,3.1190828834674873,1077,Ireland,Residential
77,-4.009462641926038,2.402896752084668,1078,Ireland,Residential
78,-1.1165004227648296,-0.04916030555119819,1079,Ireland,Residential
79,-2.154138680441194,0.5905625654873298,1080,Ireland,Residential
80,-4.554957496790367,3.348249047660349,1081,Ireland,Residential
81,-0.6001020756083496,-0.6849052251815481,1082,Ireland,Residential
82,-2.658294239335116,1.0738267090243268,1083,Ireland,Residential
83,-2.1658042352133484,0.509995040311097,1084,Ireland,Residential
84,-3.697082655689871,2.3326261376010833,1085,Ireland,Residential
