,comp-1,comp-2,unique_id,Type,Location
123,23.050625,-29.758698,1125,Residential,Ireland
124,8.376316,-15.310554,1126,Residential,Ireland
125,19.607721,-12.905841,1127,Residential,Ireland
126,-61.44608,-14.719901,1128,Residential,Ireland
127,26.621552,-41.273464,1129,Residential,Ireland
128,12.926382,-39.580284,1130,Residential,Ireland
129,-54.07353,-28.577345,1131,Residential,Ireland
130,7.2833204,-45.290142,1132,Residential,Ireland
131,-41.284374,-2.3385577,1133,Residential,Ireland
132,18.021519,-22.733973,1134,Residential,Ireland
133,-35.83107,-51.716564,1135,Residential,Ireland
134,-59.52157,-5.699319,1136,Residential,Ireland
135,57.102425,-9.887827,1137,Residential,Ireland
136,-51.38954,-3.8370504,1138,Residential,Ireland
137,-49.259563,-20.991165,1139,Residential,Ireland
138,29.024828,-42.25749,1140,Residential,Ireland
139,-49.11653,-26.815136,1141,Residential,Ireland
140,58.4683,-23.648298,1142,Residential,Ireland
141,-42.611286,-38.064526,1143,Residential,Ireland
142,-20.410566,-43.089108,1144,Residential,Ireland
143,54.074833,-22.292376,1145,Residential,Ireland
144,58.70297,-11.296552,1146,Residential,Ireland
145,42.095272,0.4019271,1147,Residential,Ireland
146,-0.44183356,-27.927292,1148,Residential,Ireland
147,-31.066038,-22.158436,1149,Residential,Ireland
148,19.10913,-38.75713,1150,Residential,Ireland
149,33.460346,-28.05639,1151,Residential,Ireland
150,-21.007318,-46.63616,1152,Residential,Ireland
151,-17.165304,-27.072914,1153,Residential,Ireland
152,-11.294464,-20.67294,1154,Residential,Ireland
153,-4.8619785,-32.338776,1155,Residential,Ireland
154,-2.153906,-41.17104,1156,Residential,Ireland
155,-10.515466,-27.60986,1157,Residential,Ireland
156,-23.176062,52.91406,1158,Residential,Ireland
157,42.774956,-25.89675,1159,Residential,Ireland
158,25.194996,-35.02453,1160,Residential,Ireland
159,15.702733,-29.340937,1161,Residential,Ireland
160,-60.110794,-16.49885,1162,Residential,Ireland
161,23.595284,39.844696,1163,Residential,Ireland
162,31.44167,-25.353025,1164,Residential,Ireland
163,14.861989,-25.92197,1165,Residential,Ireland
164,-29.812632,-22.92784,1166,Residential,Ireland
165,2.658179,-21.51774,1167,Residential,Ireland
166,-49.721977,-13.528066,1168,Residential,Ireland
167,14.024489,-20.435652,1169,Residential,Ireland
168,-45.113106,-11.833888,1170,Residential,Ireland
169,42.498047,-26.067493,1171,Residential,Ireland
170,53.846867,-27.107666,1172,Residential,Ireland
171,21.529305,-16.087399,1173,Residential,Ireland
172,-11.806848,20.970928,1174,Residential,Ireland
173,41.988327,-30.955006,1175,Residential,Ireland
174,-8.336249,-20.708317,1176,Residential,Ireland
175,52.419735,-22.250238,1177,Residential,Ireland
176,-16.871115,17.423876,1178,Residential,Ireland
177,41.521084,-30.508425,1179,Residential,Ireland
178,-11.837263,13.153665,1180,Residential,Ireland
179,55.749218,-14.532383,1181,Residential,Ireland
180,-9.753169,-38.32715,1182,Residential,Ireland
181,-35.77649,7.4525685,1183,Residential,Ireland
182,14.984138,-2.0278203,1184,Residential,Ireland
183,-34.809216,-3.0529122,1185,Residential,Ireland
184,16.78654,-43.782703,1186,Residential,Ireland
185,-22.03765,-24.648865,1187,Residential,Ireland
186,-9.971643,-29.675207,1188,Residential,Ireland
187,34.934025,-26.24308,1189,Residential,Ireland
188,-16.160416,-14.310454,1190,Residential,Ireland
189,31.71867,-25.268883,1191,Residential,Ireland
190,-16.299913,-37.139816,1192,Residential,Ireland
191,-43.604366,-38.951733,1194,Residential,Ireland
192,23.519932,54.1093,1195,Residential,Ireland
193,-37.135006,-6.9161673,1196,Residential,Ireland
194,-48.222023,-18.19745,1197,Residential,Ireland
195,-62.063747,1.0603986,1198,Residential,Ireland
196,-2.9488063,-51.58821,1199,Residential,Ireland
197,-31.71213,-27.786745,1200,Residential,Ireland
198,26.228691,-41.7617,1201,Residential,Ireland
199,-41.763565,-7.8505244,1202,Residential,Ireland
200,21.283985,-33.346336,1203,Residential,Ireland
201,-52.07941,-1.9877772,1204,Residential,Ireland
202,-0.8891112,-38.47232,1205,Residential,Ireland
203,-31.93788,-44.449844,1206,Residential,Ireland
204,-8.856689,-5.4599104,1207,Residential,Ireland
205,13.991213,-46.350864,1208,Residential,Ireland
206,-42.250122,-33.31081,1209,Residential,Ireland
207,-10.330735,17.215647,1210,Residential,Ireland
208,-24.304031,-42.888493,1211,Residential,Ireland
209,8.851608,-11.788363,1212,Residential,Ireland
210,-18.632374,-31.850395,1213,Residential,Ireland
211,35.95296,-21.547289,1214,Residential,Ireland
212,22.113209,-47.219357,1215,Residential,Ireland
213,-57.522217,-6.57073,1216,Residential,Ireland
214,21.893656,-12.141717,1217,Residential,Ireland
215,20.199999,-28.667385,1218,Residential,Ireland
216,3.9686422,44.702183,1219,Residential,Ireland
217,29.97138,-33.515934,1220,Residential,Ireland
218,-20.157213,-54.31554,1221,Residential,Ireland
219,-33.98739,-33.716446,1222,Residential,Ireland
220,-21.922215,-51.63344,1223,Residential,Ireland
221,14.877879,-12.217834,1224,Residential,Ireland
222,11.545327,-12.696212,1225,Residential,Ireland
223,3.452343,-35.839798,1226,Residential,Ireland
224,18.907822,-24.24028,1227,Residential,Ireland
225,58.55055,-16.759773,1228,Residential,Ireland
226,-35.024746,-6.8157325,1229,Residential,Ireland
227,-30.045498,-29.653986,1230,Residential,Ireland
228,-54.40391,-15.108618,1231,Residential,Ireland
229,-5.5885544,-34.454147,1232,Residential,Ireland
230,26.464403,-41.250034,1233,Residential,Ireland
231,-38.955803,-34.916813,1234,Residential,Ireland
232,26.54498,-45.267216,1235,Residential,Ireland
233,-34.593727,-18.147936,1236,Residential,Ireland
234,58.716934,-24.511452,1237,Residential,Ireland
235,-26.045254,-37.229744,1238,Residential,Ireland
236,-24.980167,-50.73708,1239,Residential,Ireland
237,-9.98185,-30.319939,1240,Residential,Ireland
238,-63.372974,8.094701,1241,Residential,Ireland
239,59.07358,-23.641146,1242,Residential,Ireland
240,19.49912,46.560802,1243,Residential,Ireland
241,-51.376835,11.842574,1244,Residential,Ireland
242,-38.438446,-52.06285,1245,Residential,Ireland
243,-50.09824,-11.248264,1246,Residential,Ireland
244,18.906916,-39.003574,1247,Residential,Ireland
245,2.3084874,-41.217476,1248,Residential,Ireland
246,47.535896,-2.776983,1249,Residential,Ireland
247,-24.789843,-47.00843,1250,Residential,Ireland
248,25.282505,-39.566803,1251,Residential,Ireland
249,10.066673,-22.147827,1252,Residential,Ireland
250,12.086389,-48.946377,1253,Residential,Ireland
251,24.45092,-4.59128,1254,Residential,Ireland
252,-47.936283,-23.235275,1255,Residential,Ireland
253,-24.422295,53.25357,1257,Residential,Ireland
254,-1.5781437,-11.777949,1258,Residential,Ireland
255,19.336735,48.579765,1259,Residential,Ireland
256,-30.227098,0.20812252,1260,Residential,Ireland
257,-14.459676,-55.724487,1261,Residential,Ireland
258,48.87519,-4.738809,1262,Residential,Ireland
259,1.4484718,11.28776,1263,Residential,Ireland
260,-36.909332,-7.449264,1264,Residential,Ireland
261,-16.232006,-14.065406,1265,Residential,Ireland
262,-28.567272,24.043406,1266,Residential,Ireland
263,-20.211277,-45.22858,1267,Residential,Ireland
264,-44.04163,-28.664665,1268,Residential,Ireland
265,-0.18915436,-55.670345,1269,Residential,Ireland
266,-45.815292,-28.18662,1270,Residential,Ireland
267,-18.653948,-23.311918,1271,Residential,Ireland
268,56.78353,-15.06574,1272,Residential,Ireland
269,24.074488,-42.743996,1273,Residential,Ireland
270,-0.34378812,8.68854,1274,Residential,Ireland
271,0.4756169,-27.615248,1275,Residential,Ireland
272,-20.257032,-39.77197,1276,Residential,Ireland
273,-38.10059,-39.639484,1277,Residential,Ireland
274,7.2256236,-49.861862,1278,Residential,Ireland
275,18.833973,-29.059393,1279,Residential,Ireland
276,-9.930465,-13.925861,1280,Residential,Ireland
277,19.875734,12.044326,1281,Residential,Ireland
278,-0.4334544,-26.35137,1283,Residential,Ireland
279,-8.878179,-4.4000273,1284,Residential,Ireland
280,59.216507,-17.28981,1285,Residential,Ireland
281,-25.651157,-20.240366,1286,Residential,Ireland
282,33.16399,-20.174921,1287,Residential,Ireland
283,9.098542,15.214394,1288,Residential,Ireland
284,-9.290702,-29.280634,1289,Residential,Ireland
285,20.749336,-31.103117,1290,Residential,Ireland
286,-36.805183,12.26946,1291,Residential,Ireland
287,-45.96429,-16.128893,1292,Residential,Ireland
288,-26.849173,-20.0894,1293,Residential,Ireland
289,-5.0252585,-52.12999,1294,Residential,Ireland
290,11.673134,-35.22928,1295,Residential,Ireland
291,28.139458,-47.08788,1296,Residential,Ireland
292,-39.730175,-41.885822,1297,Residential,Ireland
293,-0.059830304,-41.46854,1298,Residential,Ireland
294,-32.40372,-14.950884,1299,Residential,Ireland
295,-29.686737,-22.269878,1300,Residential,Ireland
296,-42.31623,-21.674084,1301,Residential,Ireland
297,-28.48569,-19.062725,1302,Residential,Ireland
298,-50.105846,-18.455387,1303,Residential,Ireland
299,-50.503757,-29.660278,1304,Residential,Ireland
300,-4.5428686,-44.405704,1305,Residential,Ireland
301,-60.26717,6.6236973,1306,Residential,Ireland
302,50.174107,-30.559317,1307,Residential,Ireland
303,-31.384596,-13.930004,1308,Residential,Ireland
304,-0.76305,-45.78945,1309,Residential,Ireland
305,-10.1229925,33.13741,1310,Residential,Ireland
306,-64.044014,1.6141565,1311,Residential,Ireland
307,42.110943,-0.6841001,1312,Residential,Ireland
308,-50.435272,-37.061565,1313,Residential,Ireland
309,21.712202,-32.261776,1314,Residential,Ireland
310,-51.59893,-4.9093566,1315,Residential,Ireland
311,32.307873,-25.453535,1316,Residential,Ireland
312,-46.81889,-29.012121,1317,Residential,Ireland
313,10.946969,-46.39449,1318,Residential,Ireland
314,-0.2370493,19.36908,1319,Residential,Ireland
315,38.134098,-13.329208,1320,Residential,Ireland
316,-26.492832,-28.643002,1321,Residential,Ireland
317,-49.93573,8.607898,1322,Residential,Ireland
318,-49.286945,5.7954683,1323,Residential,Ireland
319,-0.3071329,18.68204,1324,Residential,Ireland
320,-0.3903446,21.411194,1325,Residential,Ireland
321,2.4316647,-27.436348,1326,Residential,Ireland
322,-31.473625,-22.771107,1327,Residential,Ireland
323,7.7642546,-22.482916,1328,Residential,Ireland
324,37.05235,-17.032583,1329,Residential,Ireland
325,61.320515,-18.580011,1330,Residential,Ireland
326,-45.071358,-6.265336,1331,Residential,Ireland
327,-42.48503,-13.315719,1332,Residential,Ireland
328,64.977974,30.227428,1333,Residential,Ireland
329,18.529497,-28.760988,1334,Residential,Ireland
330,25.142721,55.438385,1335,Residential,Ireland
331,-17.877869,-33.420845,1336,Residential,Ireland
332,-57.105556,19.017014,1337,Residential,Ireland
333,-53.817986,-24.83892,1338,Residential,Ireland
334,16.905926,-42.32533,1339,Residential,Ireland
335,42.67348,-1.7264328,1340,Residential,Ireland
336,-14.648885,-1.2233996,1341,Residential,Ireland
337,-10.279646,-26.765697,1342,Residential,Ireland
338,-5.206113,-28.822924,1343,Residential,Ireland
339,0.032227267,-29.540367,1344,Residential,Ireland
340,35.93162,-28.471308,1345,Residential,Ireland
341,-40.93326,-30.50931,1346,Residential,Ireland
342,13.722056,-20.190273,1347,Residential,Ireland
343,-5.261514,-13.4595995,1348,Residential,Ireland
344,-15.245558,-43.759747,1349,Residential,Ireland
345,-25.62932,-46.380352,1350,Residential,Ireland
346,-8.8917,-28.056503,1351,Residential,Ireland
347,62.49559,-14.325245,1352,Residential,Ireland
348,26.380457,-3.9498513,1353,Residential,Ireland
