,unique_id,PC 1,PC 2,Location,Type
0,1000,-2.929159975070117,-0.3089234594943625,Ireland,Residential
1,1001,2.0565987052210666,7.7255693513499555,Ireland,Residential
2,1002,1.111121987011764,-3.019206470342,Ireland,Residential
3,1003,-1.3947986472523775,-0.9796336460319695,Ireland,Residential
4,1004,-1.046398325280852,-1.5518855920851389,Ireland,Residential
5,1005,-1.5742436194531961,-0.6888918055555014,Ireland,Residential
6,1006,1.0366065387654764,-0.9993257254633742,Ireland,Residential
7,1007,-1.1324659178969059,-1.5169864849159729,Ireland,Residential
8,1008,-2.2132524543817165,-1.3194616293397896,Ireland,Residential
9,1009,-0.931201414780525,0.3076267505868855,Ireland,Residential
10,1010,-1.7982703816450565,-0.0023310735394603136,Ireland,Residential
11,1011,2.072519310653788,-0.7000544700151349,Ireland,Residential
12,1012,3.863409845531288,-1.0626228939708626,Ireland,Residential
13,1013,-2.492725459588239,-0.5452064307465369,Ireland,Residential
14,1014,-0.09633999226652233,-1.0805589261724375,Ireland,Residential
15,1015,-2.2822619827561548,-0.367060708706383,Ireland,Residential
16,1016,3.2397393403940975,-1.613789573774247,Ireland,Residential
17,1017,-1.7443942175659857,-0.6971333385554362,Ireland,Residential
18,1018,0.17839257005837716,-1.6200980240604668,Ireland,Residential
19,1019,-2.173709847320202,-0.3400413365071544,Ireland,Residential
20,1020,-1.6730396681751367,-1.5553015753462647,Ireland,Residential
21,1021,3.3010672610730696,-1.70697304279381,Ireland,Residential
22,1022,-3.8600490156695195,0.44870208427167896,Ireland,Residential
23,1023,6.605028548977168,-2.9527036612684627,Ireland,Residential
24,1024,-1.4328018186464402,-0.3896544517521701,Ireland,Residential
25,1025,-4.677542034719423,1.0328406873100817,Ireland,Residential
26,1026,7.568038316186836,-2.4023401437817706,Ireland,Residential
27,1027,-1.9464273581993587,-1.3420446180973864,Ireland,Residential
28,1028,6.540962526652889,-2.6297394886282928,Ireland,Residential
29,1029,-6.116018475181221,1.1266553607622114,Ireland,Residential
30,1030,-1.652626651626167,-2.0893083015961604,Ireland,Residential
31,1031,-1.2508925599472092,-0.6636901358408028,Ireland,Residential
32,1032,-2.8854309365621407,-0.47129251629977215,Ireland,Residential
33,1033,-0.31401910892102025,-2.0505842392126383,Ireland,Residential
34,1034,1.416179494070769,-2.192974609387716,Ireland,Residential
35,1035,5.53920980857316,0.05343563534097422,Ireland,Residential
36,1036,2.130527704183669,0.805341702148775,Ireland,Residential
37,1037,-5.187590289010958,0.5645165954895378,Ireland,Residential
38,1038,6.399515058085359,-2.7790136720801453,Ireland,Residential
39,1039,-0.7808881885966048,-0.859302653899666,Ireland,Residential
40,1041,-4.460430079133682,-0.5616094087616608,Ireland,Residential
41,1042,0.14244712564089806,-2.8265856239401783,Ireland,Residential
42,1043,0.5420063740479261,-0.8691718220470265,Ireland,Residential
43,1044,-0.6069143993952885,-1.0174015964733634,Ireland,Residential
44,1045,-0.7375622280202384,-0.49616176772993864,Ireland,Residential
45,1046,-2.9676975716841563,-0.9739673495686937,Ireland,Residential
46,1047,-2.294144651316111,-1.0415923805519527,Ireland,Residential
47,1048,-0.372159672100399,-1.6957615856687493,Ireland,Residential
48,1049,1.8417541263648751,0.1901534897225142,Ireland,Residential
49,1050,4.906281649131249,-1.1363627990810232,Ireland,Residential
50,1051,-0.9170163798076545,-1.4048534194744635,Ireland,Residential
51,1052,-1.670534618218121,-0.9040674397517211,Ireland,Residential
52,1053,1.6125220463308954,0.6956606428336836,Ireland,Residential
53,1054,-3.8950516293355104,-0.8892155279722304,Ireland,Residential
54,1055,1.1990037106991476,-2.44982218073598,Ireland,Residential
55,1056,5.130120797819193,-0.5546498636617037,Ireland,Residential
56,1057,-1.130439902237867,-0.727493918011607,Ireland,Residential
57,1058,-0.413219483514777,-0.35273058963814996,Ireland,Residential
58,1059,-0.37807743174913916,-0.05313959589530604,Ireland,Residential
59,1060,0.5220838574605556,-1.683461443824584,Ireland,Residential
60,1061,-2.688574543386638,0.9743923127960751,Ireland,Residential
61,1062,-1.1134804021089497,0.10644259176885235,Ireland,Residential
62,1063,-4.07671662096356,-0.1608586155555312,Ireland,Residential
63,1064,0.3554636888188792,0.7492777632419462,Ireland,Residential
64,1065,1.5154737003028187,-2.679288326287929,Ireland,Residential
65,1066,-1.8402078360842824,-0.18887456068888397,Ireland,Residential
66,1067,-1.9938786197299105,-0.34963140654411673,Ireland,Residential
67,1068,-2.44395115657199,0.41734838487343784,Ireland,Residential
68,1069,4.279401288063367,-1.7783603627815001,Ireland,Residential
69,1070,2.896441878793762,-0.7365725782116613,Ireland,Residential
70,1071,-1.9844682329440713,-0.3662550657995185,Ireland,Residential
71,1072,-0.8269341617067155,-0.8166106806803383,Ireland,Residential
72,1073,-0.9575484171330754,-1.3161770391295018,Ireland,Residential
73,1074,3.654172907482362,-0.1469445925478637,Ireland,Residential
74,1075,-2.2908841358605807,-0.06771048420126403,Ireland,Residential
75,1076,2.0412907578796835,-1.362957916347039,Ireland,Residential
76,1077,-4.357409619214107,0.4553313865734977,Ireland,Residential
77,1078,-3.3166239278801193,-0.4918219947940396,Ireland,Residential
78,1079,-0.12022501661215815,-1.56496580697728,Ireland,Residential
79,1080,-1.2564214012915456,-0.7561722681810152,Ireland,Residential
80,1081,-4.12987091287765,0.4336869720657049,Ireland,Residential
81,1082,0.3091105756034089,-1.3420795044145184,Ireland,Residential
82,1083,-0.45410025230357404,-2.1978587411445636,Ireland,Residential
83,1084,-0.10202719771074198,-0.4495791892655037,Ireland,Residential
